n,d,s,Branching,Iter,Time
5,1.0,1,SOS2,5,5.523751974105835
5,1.0,1,CC,5,0.9242370128631592
5,1.0,1,MC,5,0.531790018081665
5,1.0,1,DCC,5,0.15053105354309082
5,1.0,1,IC,5,0.6183462142944336
5,1.0,2,SOS2,3,0.014935016632080078
5,1.0,2,CC,3,0.010220050811767578
5,1.0,2,MC,3,0.009851932525634766
5,1.0,2,DCC,3,0.010334968566894531
5,1.0,2,IC,3,0.008919000625610352
5,1.0,3,SOS2,4,0.026944875717163086
5,1.0,3,CC,4,0.02298593521118164
5,1.0,3,MC,4,0.019020795822143555
5,1.0,3,DCC,4,0.023153066635131836
5,1.0,3,IC,4,0.016974925994873047
5,1.0,4,SOS2,2,0.005484104156494141
5,1.0,4,CC,2,0.0037169456481933594
5,1.0,4,MC,2,0.004157066345214844
5,1.0,4,DCC,2,0.003715038299560547
5,1.0,4,IC,2,0.004030942916870117
5,1.0,5,SOS2,3,0.01526498794555664
5,1.0,5,CC,3,0.01448202133178711
5,1.0,5,MC,3,0.011445999145507812
5,1.0,5,DCC,3,0.011432170867919922
5,1.0,5,IC,3,0.007966995239257812
10,1.0,1,SOS2,3,0.2242281436920166
10,1.0,1,CC,3,0.049963951110839844
10,1.0,1,MC,3,0.031180143356323242
10,1.0,1,DCC,3,0.06947588920593262
10,1.0,1,IC,3,0.0425260066986084
10,1.0,2,SOS2,7,0.3543519973754883
10,1.0,2,CC,7,0.5020759105682373
10,1.0,2,MC,7,0.24342679977416992
10,1.0,2,DCC,7,0.4359920024871826
10,1.0,2,IC,7,0.19934797286987305
10,1.0,3,SOS2,11,2.25373911857605
10,1.0,3,CC,11,1.7873518466949463
10,1.0,3,MC,11,1.8313729763031006
10,1.0,3,DCC,11,1.8876619338989258
10,1.0,3,IC,11,0.8066229820251465
10,1.0,4,SOS2,6,0.3126990795135498
10,1.0,4,CC,6,0.31691884994506836
10,1.0,4,MC,6,0.22295618057250977
10,1.0,4,DCC,6,0.3316190242767334
10,1.0,4,IC,6,0.19826602935791016
10,1.0,5,SOS2,6,0.3939480781555176
10,1.0,5,CC,6,0.4493749141693115
10,1.0,5,MC,6,0.30480194091796875
10,1.0,5,DCC,6,0.32512903213500977
10,1.0,5,IC,6,0.24387216567993164
15,1.0,1,SOS2,11,11.763674974441528
15,1.0,1,CC,11,8.93224811553955
15,1.0,1,MC,11,8.741209983825684
15,1.0,1,DCC,11,10.294002056121826
15,1.0,1,IC,11,1.7597579956054688
15,1.0,2,SOS2,8,3.1322450637817383
15,1.0,2,CC,8,1.8505849838256836
15,1.0,2,MC,8,2.087311029434204
15,1.0,2,DCC,8,1.858346939086914
15,1.0,2,IC,8,1.092411994934082
15,1.0,3,SOS2,10,10.614816904067993
15,1.0,3,CC,10,6.54581880569458
15,1.0,3,MC,10,4.820735931396484
15,1.0,3,DCC,10,5.953398942947388
15,1.0,3,IC,10,1.903365135192871
15,1.0,4,SOS2,9,6.69650411605835
15,1.0,4,CC,9,7.002793073654175
15,1.0,4,MC,9,5.350120782852173
15,1.0,4,DCC,9,3.3055739402770996
15,1.0,4,IC,9,1.5662400722503662
15,1.0,5,SOS2,13,11.432874917984009
15,1.0,5,CC,13,9.408282041549683
15,1.0,5,MC,13,9.009573936462402
15,1.0,5,DCC,13,8.899647951126099
15,1.0,5,IC,13,2.43849515914917
20,1.0,1,SOS2,17,372.19627380371094
20,1.0,1,CC,17,160.60494685173035
20,1.0,1,MC,17,98.53954291343689
20,1.0,1,DCC,17,225.39932203292847
20,1.0,1,IC,17,93.53064680099487
20,1.0,2,SOS2,16,419.9933099746704
20,1.0,2,CC,16,384.7004098892212
20,1.0,2,MC,16,139.7889051437378
20,1.0,2,DCC,16,199.13984513282776
20,1.0,2,IC,16,154.4148280620575
20,1.0,3,SOS2,15,229.4894700050354
20,1.0,3,CC,15,88.72111916542053
20,1.0,3,MC,15,71.64462089538574
20,1.0,3,DCC,15,141.54484796524048
20,1.0,3,IC,15,73.10434103012085
20,1.0,4,SOS2,15,197.72736597061157
20,1.0,4,CC,15,134.41432189941406
20,1.0,4,MC,14,67.81503009796143
20,1.0,4,DCC,15,135.69763898849487
20,1.0,4,IC,15,88.96304607391357
20,1.0,5,SOS2,14,208.14239692687988
20,1.0,5,CC,14,168.04072999954224
20,1.0,5,MC,14,102.44926595687866
20,1.0,5,DCC,14,160.20550918579102
20,1.0,5,IC,14,108.74067306518555
