n,d,s,Adaptive PWL Iter,Spatial Branch Iter,KKT Branch Iter,Adaptive PWL Time,Spatial Branch Time,KKT Branch Time
5,1.0,1,5,60,8,2.773697853088379,3.876178026199341,4.108698844909668
5,1.0,2,3,68,0,0.01256108283996582,0.010545015335083008,0.006321907043457031
5,1.0,3,4,68,0,0.01993393898010254,0.009061098098754883,0.007801055908203125
5,1.0,4,2,30,0,0.004348039627075195,0.003952980041503906,0.005646944046020508
5,1.0,5,3,38,0,0.01193094253540039,0.005745887756347656,0.005006074905395508
10,1.0,1,4,2620,4,0.057958126068115234,0.9299077987670898,0.17047119140625
10,1.0,2,7,1846,12,0.2537050247192383,0.43288516998291016,0.2668578624725342
10,1.0,3,12,5876,44,1.6225450038909912,4.003647089004517,1.0662760734558105
10,1.0,4,5,1706,4,0.15494990348815918,0.458294153213501,0.0939640998840332
10,1.0,5,6,2082,9,0.39928483963012695,0.6167569160461426,0.23493504524230957
15,1.0,1,12,39926,50,10.888354778289795,123.17937302589417,4.274228096008301
15,1.0,2,7,27578,1,1.471832036972046,40.86518692970276,0.18932080268859863
15,1.0,3,12,34468,18,7.526866912841797,131.67054295539856,1.7604069709777832
15,1.0,4,10,35934,50,6.29060697555542,105.56434106826782,4.582258939743042
15,1.0,5,14,41498,11,14.068928003311157,137.7929790019989,1.257086992263794
20,1.0,1,19,76307,66,89.99863696098328,Inf,16.0092830657959
20,1.0,2,17,73488,40,146.21335196495056,Inf,10.59486699104309
20,1.0,3,15,78178,40,69.52452087402344,Inf,10.210730075836182
20,1.0,4,16,74912,84,52.17339086532593,Inf,18.405550956726074
20,1.0,5,14,72638,28,85.21931600570679,Inf,8.468658924102783
